Length,Thickness,Tref,Tamb,e1,CTE1,E2,CTE2,deflection,LT_Ratio,Temp_Diff
10.0,1.0,25.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.109,10.0,-145.0
10.0,2.0,25.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.055,5.0,-145.0
10.0,0.2,103.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.252,50.0,-67.0
10.0,0.2,103.0,0.0,30000000.0,1e-05,30000000.0,2e-05,-0.387,50.0,103.0
9.0,0.2,103.0,0.0,30000000.0,1e-05,30000000.0,2e-05,-0.314,45.0,103.0
9.0,0.05,103.0,0.0,30000000.0,1e-05,30000000.0,2e-05,-1.255,180.0,103.0
9.0,2.0,103.0,0.0,30000000.0,1e-05,30000000.0,2e-05,-0.031,4.5,103.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
8.0,0.15,36.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.43,53.33,-134.0
10.0,0.1,194.0,21.0,30000000.0,1e-05,30000000.0,2e-05,-1.301,100.0,173.0
11.0,0.15,49.0,161.0,30000001.0,1e-05,30000000.0,2e-05,0.679,73.33,-112.0
13.0,0.1,15.0,170.0,30000000.0,1e-05,30000000.0,2e-05,1.968,130.0,-155.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
12.0,0.1,165.0,40.0,30000000.0,1e-05,30000000.0,2e-05,-1.352,120.0,125.0
8.0,0.13,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.371,61.54,-100.0
7.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.369,70.0,-100.0
11.0,0.1,156.0,44.0,30000000.0,1e-05,30000000.0,2e-05,-1.019,110.0,112.0
10.0,0.1,0.0,170.0,30000000.0,1e-05,30000000.0,2e-05,1.278,100.0,-170.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
8.8,0.2,50.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.35,44.0,-120.0
7.77,0.13,70.0,191.0,30000000.0,1e-05,30000000.0,2e-05,0.423,59.77,-121.0
5.5,0.1,155.0,37.0,30000000.0,1e-05,30000000.0,2e-05,-0.27,55.0,118.0
10.0,0.1,70.0,170.0,15000000.0,1e-05,30000000.0,2e-05,0.729,100.0,-100.0
7.75,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.452,77.5,-100.0
6.6767,0.1,191.0,9.0,30000000.0,1e-05,30000000.0,2e-05,-0.612,66.77,182.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,4e-05,30000000.0,2e-05,-1.504,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,121.0,40.0,30000000.0,1e-05,30000000.0,2e-05,-0.609,100.0,81.0
10.0,0.1,23.0,124.0,40000000.0,1e-05,30000000.0,6e-05,3.777,100.0,-101.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
8.75,0.1,29.0,145.0,30000000.0,1e-05,30000000.0,2e-05,0.668,87.5,-116.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.1,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.767,101.0,-100.0
10.22,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.785,102.2,-100.0
10.33,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.802,103.3,-100.0
8.77,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.579,87.7,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.123,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.611,81.3,-100.0
10.0,0.134,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.561,74.63,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1888,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.398,52.97,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,2.0,170.0,30000000.0,1e-05,30000000.0,2e-05,1.263,100.0,-168.0
10.0,0.1,2.0,170.0,40000000.0,1e-05,30000000.0,2e-05,1.257,100.0,-168.0
10.0,0.1,70.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.752,100.0,-100.0
10.0,0.1,39.0,170.0,30000000.0,1e-05,30000000.0,2e-05,0.985,100.0,-131.0
10.0,0.1,70.0,74.0,30000000.0,1e-05,30000000.0,2e-05,0.03,100.0,-4.0
10.0,0.1,94.0,98.0,30000000.0,1e-05,30000000.0,2e-05,0.03,100.0,-4.0
10.0,0.1,29.0,57.0,30000000.0,1e-05,30000000.0,2e-05,0.211,100.0,-28.0
10.0,0.1,29.0,154.0,30000000.0,1e-05,30000000.0,2e-05,0.94,100.0,-125.0
